year,month,hour_of_day,incident_type_primary,day_of_week
2022,8,7,LARCENY/THEFT,Saturday
2022,4,14,LARCENY/THEFT,Wednesday
2022,4,11,LARCENY/THEFT,Wednesday
2022,4,12,LARCENY/THEFT,Wednesday
2022,4,8,LARCENY/THEFT,Wednesday
2022,8,16,LARCENY/THEFT,Monday
2022,8,11,UUV,Saturday
2022,8,9,LARCENY/THEFT,Sunday
2022,6,12,LARCENY/THEFT,Saturday
2022,6,20,UUV,Saturday
2022,4,12,BURGLARY,Thursday
2022,6,3,LARCENY/THEFT,Saturday
2022,6,10,ASSAULT,Saturday
2022,6,0,ASSAULT,Sunday
2022,4,17,LARCENY/THEFT,Friday
2022,5,14,LARCENY/THEFT,Sunday
2022,5,3,ASSAULT,Sunday
2022,4,20,LARCENY/THEFT,Sunday
2022,8,0,ASSAULT,Sunday
2022,6,7,BURGLARY,Monday
2022,8,4,ASSAULT,Saturday
2022,6,11,LARCENY/THEFT,Saturday
2022,8,12,LARCENY/THEFT,Saturday
2022,4,18,LARCENY/THEFT,Monday
2022,5,21,UUV,Monday
2022,6,15,ASSAULT,Monday
2022,5,9,LARCENY/THEFT,Tuesday
2022,5,8,BURGLARY,Tuesday
2022,5,7,UUV,Monday
2022,6,8,UUV,Saturday
2022,5,13,LARCENY/THEFT,Monday
2022,8,11,ROBBERY,Saturday
2022,8,12,LARCENY/THEFT,Sunday
2022,8,7,UUV,Saturday
2022,6,19,LARCENY/THEFT,Tuesday
2022,6,14,LARCENY/THEFT,Tuesday
2022,8,12,LARCENY/THEFT,Saturday
2022,5,22,ASSAULT,Monday
2022,5,10,LARCENY/THEFT,Tuesday
2022,4,15,UUV,Monday
2022,5,10,UUV,Sunday
2022,5,16,BURGLARY,Monday
2022,4,1,THEFT OF SERVICES,Friday
2022,4,16,LARCENY/THEFT,Thursday
2022,8,8,LARCENY/THEFT,Thursday
2022,4,22,UUV,Thursday
2022,8,12,LARCENY/THEFT,Wednesday
2022,6,9,LARCENY/THEFT,Thursday
2022,6,17,THEFT OF SERVICES,Thursday
2022,6,17,LARCENY/THEFT,Thursday
2022,8,7,LARCENY/THEFT,Wednesday
2022,6,8,UUV,Friday
2022,4,10,LARCENY/THEFT,Friday
2022,4,7,ASSAULT,Thursday
2022,4,19,ASSAULT,Thursday
2022,8,10,UUV,Friday
2022,4,10,LARCENY/THEFT,Thursday
2022,8,13,LARCENY/THEFT,Thursday
2022,4,21,LARCENY/THEFT,Thursday
2022,4,19,LARCENY/THEFT,Thursday
2022,4,12,UUV,Thursday
2022,4,4,ROBBERY,Thursday
2022,4,2,UUV,Friday
2022,4,15,LARCENY/THEFT,Monday
2022,5,0,ASSAULT,Monday
2022,5,12,UUV,Sunday
2022,8,21,UUV,Thursday
2022,6,11,RAPE,Friday
2022,6,17,LARCENY/THEFT,Sunday
2022,8,15,LARCENY/THEFT,Thursday
2022,8,11,LARCENY/THEFT,Thursday
2022,8,11,UUV,Friday
2022,6,10,LARCENY/THEFT,Tuesday
2022,5,15,LARCENY/THEFT,Tuesday
2022,8,13,UUV,Thursday
2022,8,14,UUV,Thursday
2022,5,16,ASSAULT,Tuesday
2022,6,20,LARCENY/THEFT,Sunday
2022,5,8,LARCENY/THEFT,Tuesday
2022,5,13,ROBBERY,Tuesday
2022,6,19,ASSAULT,Sunday
2022,6,20,LARCENY/THEFT,Monday
2022,5,10,LARCENY/THEFT,Thursday
2022,6,3,ASSAULT,Sunday
2022,8,9,LARCENY/THEFT,Monday
2022,8,11,LARCENY/THEFT,Thursday
2022,5,11,BURGLARY,Tuesday
2022,8,10,LARCENY/THEFT,Friday
2022,6,14,LARCENY/THEFT,Sunday
2022,8,16,UUV,Sunday
2022,4,16,LARCENY/THEFT,Saturday
2022,6,9,ASSAULT,Monday
2022,4,18,LARCENY/THEFT,Monday
2022,4,11,UUV,Tuesday
2022,8,8,ASSAULT,Sunday
2022,8,19,ROBBERY,Sunday
2022,6,7,ASSAULT,Sunday
2022,6,0,ROBBERY,Monday
2022,6,3,LARCENY/THEFT,Sunday
2022,4,14,UUV,Saturday
2022,8,13,ROBBERY,Sunday
2022,4,3,ASSAULT,Friday
2022,4,14,THEFT OF SERVICES,Friday
2022,6,17,ASSAULT,Sunday
2022,4,16,UUV,Friday
2022,8,15,BURGLARY,Sunday
2022,4,10,UUV,Friday
2022,4,10,BURGLARY,Friday
2022,4,12,LARCENY/THEFT,Friday
2022,4,14,LARCENY/THEFT,Sunday
2022,6,16,ASSAULT,Monday
2022,6,10,UUV,Monday
2022,6,14,UUV,Monday
2022,8,17,ASSAULT,Sunday
2022,4,13,LARCENY/THEFT,Friday
2022,6,14,LARCENY/THEFT,Monday
2022,4,11,LARCENY/THEFT,Sunday
2022,6,18,UUV,Sunday
2022,8,7,BURGLARY,Sunday
2022,4,17,LARCENY/THEFT,Friday
2022,8,18,LARCENY/THEFT,Sunday
2022,6,16,LARCENY/THEFT,Sunday
2022,8,9,LARCENY/THEFT,Sunday
2022,6,13,ASSAULT,Sunday
2022,5,9,LARCENY/THEFT,Wednesday
2022,4,15,LARCENY/THEFT,Sunday
2022,6,17,LARCENY/THEFT,Thursday
2022,5,16,BURGLARY,Tuesday
2022,5,16,LARCENY/THEFT,Tuesday
2022,4,15,LARCENY/THEFT,Wednesday
2022,8,11,BURGLARY,Sunday
2022,6,7,ROBBERY,Thursday
2022,6,2,LARCENY/THEFT,Wednesday
2022,6,23,UUV,Tuesday
2022,6,13,LARCENY/THEFT,Tuesday
2022,8,9,ASSAULT,Sunday
2022,8,21,ASSAULT,Monday
2022,8,19,UUV,Sunday
2022,8,11,UUV,Monday
2022,8,13,ROBBERY,Sunday
2022,8,7,ASSAULT,Sunday
2022,8,23,LARCENY/THEFT,Sunday
2022,8,14,LARCENY/THEFT,Sunday
2022,5,16,LARCENY/THEFT,Wednesday
2022,8,0,ASSAULT,Monday
2022,8,15,LARCENY/THEFT,Monday
2022,6,2,ASSAULT,Saturday
2022,6,11,LARCENY/THEFT,Friday
2022,6,11,ASSAULT,Friday
2022,6,1,ASSAULT,Saturday
2022,6,7,LARCENY/THEFT,Saturday
2022,4,22,ASSAULT,Saturday
2022,4,2,LARCENY/THEFT,Saturday
2022,5,10,LARCENY/THEFT,Tuesday
2022,4,9,LARCENY/THEFT,Saturday
2022,4,9,SEXUAL ABUSE,Sunday
2022,4,13,LARCENY/THEFT,Saturday
2022,6,12,LARCENY/THEFT,Thursday
2022,6,3,ASSAULT,Saturday
2022,4,12,BURGLARY,Saturday
2022,6,22,ASSAULT,Monday
2022,4,17,UUV,Saturday
2022,5,11,LARCENY/THEFT,Monday
2022,8,17,LARCENY/THEFT,Tuesday
2022,8,16,ASSAULT,Tuesday
2022,4,16,ASSAULT,Saturday
2022,6,19,ROBBERY,Monday
2022,6,16,BURGLARY,Monday
2022,4,22,ASSAULT,Saturday
2022,4,15,LARCENY/THEFT,Saturday
2022,6,18,LARCENY/THEFT,Monday
2022,6,15,LARCENY/THEFT,Monday
2022,4,4,LARCENY/THEFT,Sunday
2022,4,20,LARCENY/THEFT,Saturday
2022,8,12,LARCENY/THEFT,Friday
2022,5,14,LARCENY/THEFT,Wednesday
2022,5,11,LARCENY/THEFT,Wednesday
2022,5,7,LARCENY/THEFT,Thursday
2022,5,21,UUV,Monday
2022,5,23,BURGLARY,Tuesday
2022,6,8,BURGLARY,Tuesday
2022,6,8,LARCENY/THEFT,Tuesday
2022,5,11,BURGLARY,Thursday
2022,6,22,LARCENY/THEFT,Monday
2022,6,8,MURDER,Monday
2022,8,11,LARCENY/THEFT,Friday
2022,8,10,BURGLARY,Friday
2022,6,10,LARCENY/THEFT,Monday
2022,5,9,LARCENY/THEFT,Friday
2022,5,20,UUV,Thursday
2022,5,17,LARCENY/THEFT,Thursday
2022,5,22,LARCENY/THEFT,Thursday
